Berlin, N.Y.	42°42'N	73°23'W
Berlin, Wis.	43°58'N	88°57'W
Berlin L.	41°03'N	81°00'W
Bernalillo	35°18'N	106°33'W
Bernardsville	40°43'N	74°34'W
Berryessa L.	38°31'N	122°06'W
Berryville	36°22'N	93°34'W
Berthold	48°19'N	105°05'W
Berthoud	40°19'N	105°05'W
Berwick	41°03'N	76°14'W
Bessemer, Ala.	33°24'N	86°58'W
Bessemer, Mich.	46°29'N	90°03'W
Bessemer, Pa.	40°59'N	80°30'W
Bethany	40°16'N	94°02'W
Bethel, Alaska	60°48'N	161°45'W
Bethel, Conn.	41°22'N	73°25'W
Bethel, Maine	44°25'N	70°47'W
Bethel, Vt.	43°50'N	72°38'W
Bethel Park	40°20'N	80°01'W
Bethlehem	40°37'N	75°23'W
Bettendorf	41°32'N	90°30'W
Beulah, N. Dak.	47°16'N	101°47'W
Beverley Hills	28°56'N	82°28'W
Beverly	42°33'N	70°53'W
Beverly Hills	34°04'N	118°25'W
Biddeford	43°30'N	70°28'W
Bieber	41°07'N	121°08'W
Big Bear City	34°16'N	116°51'W
Big Bear Lake	34°15'N	116°56'W
Big Belt Mts.	46°30'N	111°25'W
Big Bend Nat. Park	29°20'N	103°05'W
Big Black	32°03'N	91°04'W
Bib Blue	39°35'N	96°34'W
Big Creek	37°11'N	119°14'W
Big Cypress Nat. Preserve	26°00'N	81°10'W
Big Cypress Swamp	26°15'N	81°30'W
Big Falls	48°12'N	93°48'W
Big Fork	48°31'N	93°43'W
Big Horn Mts. = Bighorn Mts.	44°30'N	107°30'W
Big Lake	31°12'N	101°28'W
Big Moose	43°49'N	74°58'W
Big Muddy Cr.	48°08'N	104°36'W
Big Pine	37°10'N	118°17'W
Big Piney	42°32'N	110°07'W
Big Repids	43°42'N	85°29'W
Big Run	40°57'N	78°55'W
Big Sable Pt.	44°03'N	86°01'W
Big Sandy	48°11'N	110°07'W
Big Sandy	38°25'N	82°36'W
Big Sandy Cr.	38°07'N	102°29'W
Big Sioux	42°29'N	96°27'W
Big Spring	32°15'N	101°28'W
Big Stone City	45°18'N	96°28'W
Big Stone Gap	36°52'N	82°47'W
Big Stone L.	45°30'N	96°35'W
Big Sur	36°15'N	121°48'W
Big Timber	45°50'N	109°57'W
Biggs	39°25'N	121°43'W
Bighorn	46°10'N	107°27'W
Bighorn	46°10'N	107°28'W
